trajectory,profile_id,time,latitude,longitude
,,UTC,degrees_north,degrees_east
cp_380-20170607T025400Z,1,2017-06-07T02:58:48Z,39.83865253300434,-70.73067298917795
cp_380-20170607T025400Z,2,2017-06-07T03:03:52Z,39.838663611897445,-70.7303192582882
cp_380-20170607T025400Z,3,2017-06-07T03:28:03Z,39.837735476658295,-70.73197557500023
cp_380-20170607T025400Z,4,2017-06-07T03:33:06Z,39.83817553406125,-70.7314774016707
cp_380-20170607T025400Z,5,2017-06-07T04:20:01Z,39.83441550367905,-70.73348781383038
cp_380-20170607T025400Z,6,2017-06-07T04:29:06Z,39.833528312585145,-70.73504790486675
cp_380-20170607T025400Z,7,2017-06-07T04:55:44Z,39.83091021618453,-70.73640689606947
cp_380-20170607T025400Z,8,2017-06-07T05:08:53Z,39.83037395340844,-70.73500967064719
cp_380-20170607T025400Z,9,2017-06-07T05:43:20Z,39.82916896383999,-70.73475974961192
cp_380-20170607T025400Z,10,2017-06-07T06:15:38Z,39.830529261583116,-70.73181912576382
cp_380-20170607T025400Z,11,2017-06-07T07:01:42Z,39.829300038660264,-70.72822221346111
cp_380-20170607T025400Z,12,2017-06-07T08:00:22Z,39.829960117392666,-70.71843752642687
cp_380-20170607T025400Z,13,2017-06-07T09:46:57Z,39.82512138795184,-70.71712893518485
cp_380-20170607T025400Z,14,2017-06-07T10:41:29Z,39.82778975989183,-70.70785592392987
cp_380-20170607T025400Z,15,2017-06-07T11:51:47Z,39.82384473026872,-70.70340713923906
cp_380-20170607T025400Z,16,2017-06-07T13:07:36Z,39.8204131574951,-70.6998181219875
cp_380-20170607T025400Z,17,2017-06-07T14:20:53Z,39.818152368159474,-70.70274794210306
cp_380-20170607T025400Z,18,2017-06-07T16:09:58Z,39.82447530212066,-70.70273144534576
cp_380-20170607T025400Z,19,2017-06-07T18:46:22Z,39.825571808501486,-70.72491214823788
cp_380-20170607T025400Z,20,2017-06-07T20:23:20Z,39.82779521400848,-70.70828356147167
cp_380-20170607T025400Z,21,2017-06-07T22:04:04Z,39.82903165785716,-70.70158493378032
cp_380-20170607T025400Z,22,2017-06-07T23:18:51Z,39.8268801301525,-70.69614226682074
cp_380-20170607T025400Z,23,2017-06-08T00:47:18Z,39.82223187162426,-70.69550087526508
cp_380-20170607T025400Z,24,2017-06-08T02:35:27Z,39.81921943573852,-70.705022170038
cp_380-20170607T025400Z,25,2017-06-08T04:38:51Z,39.812743220104885,-70.7086390968589
cp_380-20170607T025400Z,26,2017-06-08T06:21:49Z,39.82116217345716,-70.7019725267383
cp_380-20170607T025400Z,27,2017-06-08T08:16:54Z,39.82250839084399,-70.7042320031612
cp_380-20170607T025400Z,28,2017-06-08T08:51:14Z,39.821738270266096,-70.70501420165773
cp_380-20170607T025400Z,29,2017-06-08T09:31:51Z,39.820314808538804,-70.70481904432435
cp_380-20170607T025400Z,30,2017-06-08T11:18:00Z,39.82088859445827,-70.69366769161198
cp_380-20170607T025400Z,31,2017-06-08T13:04:22Z,39.82214534335785,-70.69421594798591
cp_380-20170607T025400Z,32,2017-06-08T13:53:50Z,39.82126284041152,-70.69781411282248
