trajectory,profile_id,time,latitude,longitude
,,UTC,degrees_north,degrees_east
cp_380-20161011T204600Z,1,2016-10-11T21:01:42Z,39.83617808157218,-70.72796768080006
cp_380-20161011T204600Z,2,2016-10-11T21:05:45Z,39.83631756124911,-70.72660680013212
cp_380-20161011T204600Z,3,2016-10-11T22:13:35Z,39.83683073470911,-70.7270463370648
cp_380-20161011T204600Z,4,2016-10-11T22:19:37Z,39.83702536719718,-70.72772130110597
cp_380-20161011T204600Z,5,2016-10-11T22:38:44Z,39.837716773716,-70.72760796948646
cp_380-20161011T204600Z,6,2016-10-11T22:44:48Z,39.837489690457126,-70.72628239404038
cp_380-20161011T204600Z,7,2016-10-11T23:03:05Z,39.83765157221576,-70.72524868849845
cp_380-20161011T204600Z,8,2016-10-11T23:09:08Z,39.83806711488369,-70.72482543259956
cp_380-20161011T204600Z,9,2016-10-11T23:45:03Z,39.8373153422552,-70.72589281474508
cp_380-20161011T204600Z,10,2016-10-12T00:21:24Z,39.83441409857774,-70.72759868577678
cp_380-20161011T204600Z,11,2016-10-12T01:20:40Z,39.8336504850976,-70.72481061015058
cp_380-20161011T204600Z,12,2016-10-12T01:58:02Z,39.83404988218228,-70.72001276280186
cp_380-20161011T204600Z,13,2016-10-12T02:43:01Z,39.83278947135716,-70.71093760892154
cp_380-20161011T204600Z,14,2016-10-12T03:48:44Z,39.830691653646205,-70.7002239619337
cp_380-20161011T204600Z,15,2016-10-12T04:53:49Z,39.82677063707786,-70.68774776729815
cp_380-20161011T204600Z,16,2016-10-12T06:24:41Z,39.82484992033325,-70.67042200785079
cp_380-20161011T204600Z,17,2016-10-12T08:03:08Z,39.823442926664946,-70.6564571522303
cp_380-20161011T204600Z,18,2016-10-12T09:47:10Z,39.82406360982152,-70.6344910808977
cp_380-20161011T204600Z,19,2016-10-12T11:35:07Z,39.82479998346388,-70.6237578276375
cp_380-20161011T204600Z,20,2016-10-12T11:50:29Z,39.82524088344187,-70.61268450488889
cp_380-20161011T204600Z,21,2016-10-12T13:34:30Z,39.82419645445609,-70.59005315017943
cp_380-20161011T204600Z,22,2016-10-12T15:17:40Z,39.82354731044841,-70.57598708298356
cp_380-20161011T204600Z,23,2016-10-12T15:43:53Z,39.823455550697346,-70.57007624072841
cp_380-20161011T204600Z,24,2016-10-12T16:30:48Z,39.82646431109787,-70.5569633726288
cp_380-20161011T204600Z,25,2016-10-12T18:07:48Z,39.82956375156087,-70.53605620317074
cp_380-20161011T204600Z,26,2016-10-12T20:05:10Z,39.83235350010894,-70.51484327440066
cp_380-20161011T204600Z,27,2016-10-12T21:49:10Z,39.834567964638886,-70.49148211157363
cp_380-20161011T204600Z,28,2016-10-12T23:26:21Z,39.8360150669579,-70.47621612178489
cp_380-20161011T204600Z,29,2016-10-13T00:01:40Z,39.83680757598669,-70.46825082450056
cp_380-20161011T204600Z,30,2016-10-13T00:53:17Z,39.83711729182936,-70.4568248142836
cp_380-20161011T204600Z,31,2016-10-13T02:26:16Z,39.835031390930425,-70.43601772579063
cp_380-20161011T204600Z,32,2016-10-13T04:22:22Z,39.8351940176598,-70.41888482334149
cp_380-20161011T204600Z,33,2016-10-13T05:58:25Z,39.83496957605978,-70.40318192711135
cp_380-20161011T204600Z,34,2016-10-13T07:23:35Z,39.83481283845455,-70.39221589251709
cp_380-20161011T204600Z,35,2016-10-13T08:05:59Z,39.83471808093101,-70.38558625006667
cp_380-20161011T204600Z,36,2016-10-13T09:03:48Z,39.83499097250596,-70.38311610748922
cp_380-20161011T204600Z,37,2016-10-13T10:00:22Z,39.83503032524035,-70.37854058240137
cp_380-20161011T204600Z,38,2016-10-13T10:59:42Z,39.83606208377344,-70.37878534758536
cp_380-20161011T204600Z,39,2016-10-13T11:33:05Z,39.83610745499955,-70.37731695726616
cp_380-20161011T204600Z,40,2016-10-13T12:22:54Z,39.83645868406622,-70.37717340972044
cp_380-20161011T204600Z,41,2016-10-13T13:00:17Z,39.835191854097914,-70.37559311816409
cp_380-20161011T204600Z,42,2016-10-13T13:38:21Z,39.83494865182881,-70.37503198185269
cp_380-20161011T204600Z,43,2016-10-13T13:52:01Z,39.828499549569884,-70.37758729249289
cp_380-20161011T204600Z,44,2016-10-13T15:37:05Z,39.813328836762665,-70.3819944786286
cp_380-20161011T204600Z,45,2016-10-13T17:22:16Z,39.803918388912905,-70.38472827207794
cp_380-20161011T204600Z,46,2016-10-13T17:48:31Z,39.80003996318475,-70.3858958657083
