trajectory,profile_id,time,latitude,longitude
,,UTC,degrees_north,degrees_east
cp_336-20190408T0014,1,2019-04-08T00:27:12Z,39.95944316529099,-70.99901757334473
cp_336-20190408T0014,2,2019-04-08T00:36:43Z,39.959174932280334,-70.99804153913081
cp_336-20190408T0014,3,2019-04-08T01:02:53Z,39.961035017340045,-70.99613254775554
cp_336-20190408T0014,4,2019-04-08T02:15:13Z,39.96349857807456,-70.98669132093865
cp_336-20190408T0014,5,2019-04-08T03:18:36Z,39.96305287183055,-70.97748069903668
cp_336-20190408T0014,6,2019-04-08T03:27:53Z,39.9619312722615,-70.97611041081605
cp_336-20190408T0014,7,2019-04-08T04:10:54Z,39.961608599000954,-70.97056339475758
cp_336-20190408T0014,8,2019-04-08T04:58:30Z,39.95856814794179,-70.96490628009703
cp_336-20190408T0014,9,2019-04-08T05:08:21Z,39.95730849712019,-70.96478181373787
cp_336-20190408T0014,10,2019-04-08T05:36:06Z,39.95598916781363,-70.96317401232544
cp_336-20190408T0014,11,2019-04-08T05:45:14Z,39.954972643359916,-70.9633501121528
cp_336-20190408T0014,12,2019-04-08T06:07:51Z,39.95351000768289,-70.9623729910965
cp_336-20190408T0014,13,2019-04-08T06:17:27Z,39.95234215589465,-70.9628598186236
cp_336-20190408T0014,14,2019-04-08T06:40:20Z,39.950850318529426,-70.96295633842544
cp_336-20190408T0014,15,2019-04-08T06:50:05Z,39.949874762512636,-70.96356887503504
cp_336-20190408T0014,16,2019-04-08T07:12:47Z,39.94787857793235,-70.96412540434576
cp_336-20190408T0014,17,2019-04-08T07:22:55Z,39.947210886763266,-70.9647905627092
cp_336-20190408T0014,18,2019-04-08T07:40:39Z,39.94626630213131,-70.96560699535341
cp_336-20190408T0014,19,2019-04-08T07:50:15Z,39.94592479821576,-70.96625736158904
cp_336-20190408T0014,20,2019-04-08T08:13:30Z,39.945483106016276,-70.96739496742896
cp_336-20190408T0014,21,2019-04-08T08:21:52Z,39.9456671261717,-70.96765038869367
cp_336-20190408T0014,22,2019-04-08T08:43:35Z,39.94555428616547,-70.96853760007052
cp_336-20190408T0014,23,2019-04-08T08:52:23Z,39.94543879424749,-70.96874223247671
cp_336-20190408T0014,24,2019-04-08T09:10:04Z,39.94516399819811,-70.96945856093933
cp_336-20190408T0014,25,2019-04-08T09:19:36Z,39.94510417588898,-70.96972835068689
cp_336-20190408T0014,26,2019-04-08T09:42:19Z,39.94497298415766,-70.9709737399241
cp_336-20190408T0014,27,2019-04-08T09:50:58Z,39.94503099394182,-70.97120020353363
cp_336-20190408T0014,28,2019-04-08T10:12:36Z,39.94575228226306,-70.97279201774087
cp_336-20190408T0014,29,2019-04-08T10:21:18Z,39.94619219982234,-70.97297470411516
