trajectory,profile_id,time,latitude,longitude
,,UTC,degrees_north,degrees_east
cp_374-20160529T003500Z,1,2016-05-29T01:08:22Z,40.113617912555746,-70.44551980400746
cp_374-20160529T003500Z,2,2016-05-29T01:40:51Z,40.11101862925821,-70.44321291033657
cp_374-20160529T003500Z,3,2016-05-29T01:46:54Z,40.11138973741397,-70.44252224249394
cp_374-20160529T003500Z,4,2016-05-29T02:17:37Z,40.11237669140522,-70.44067369829212
cp_374-20160529T003500Z,5,2016-05-29T02:29:44Z,40.11369650146682,-70.44077590237082
cp_374-20160529T003500Z,6,2016-05-29T03:02:53Z,40.11452721273449,-70.43860265999129
cp_374-20160529T003500Z,7,2016-05-29T03:13:58Z,40.11460502127527,-70.4362932252414
cp_374-20160529T003500Z,8,2016-05-29T03:43:43Z,40.11533459285934,-70.43188572935496
cp_374-20160529T003500Z,9,2016-05-29T03:49:47Z,40.11515898819325,-70.43049899142487
cp_374-20160529T003500Z,10,2016-05-29T04:21:23Z,40.11606944444757,-70.42555277893611
cp_374-20160529T003500Z,11,2016-05-29T04:25:26Z,40.1159405676288,-70.42459212192777
cp_374-20160529T003500Z,12,2016-05-29T04:52:34Z,40.11585857069074,-70.41943261095484
cp_374-20160529T003500Z,13,2016-05-29T04:57:36Z,40.11575679883038,-70.418158850866
cp_374-20160529T003500Z,14,2016-05-29T05:27:39Z,40.11710635310819,-70.41210406263758
cp_374-20160529T003500Z,15,2016-05-29T05:33:42Z,40.11617745038863,-70.4106685131455
cp_374-20160529T003500Z,16,2016-05-29T06:02:01Z,40.116347325617326,-70.40468732463641
cp_374-20160529T003500Z,17,2016-05-29T06:08:05Z,40.11673986643406,-70.40396130267145
cp_374-20160529T003500Z,18,2016-05-29T06:35:20Z,40.11677628733226,-70.39781921617917
cp_374-20160529T003500Z,19,2016-05-29T06:40:23Z,40.11628975332076,-70.3962697775984
cp_374-20160529T003500Z,20,2016-05-29T07:08:47Z,40.114430685361874,-70.38934932818226
cp_374-20160529T003500Z,21,2016-05-29T07:13:50Z,40.11441481464899,-70.3882500587792
cp_374-20160529T003500Z,22,2016-05-29T07:42:07Z,40.11130894336373,-70.38230410583019
cp_374-20160529T003500Z,23,2016-05-29T07:47:10Z,40.110974930763575,-70.38078770773937
cp_374-20160529T003500Z,24,2016-05-29T08:15:12Z,40.10758967338361,-70.37539050827154
cp_374-20160529T003500Z,25,2016-05-29T08:20:16Z,40.10782298886302,-70.37474667030526
cp_374-20160529T003500Z,26,2016-05-29T08:47:37Z,40.104073675523416,-70.37102210364483
cp_374-20160529T003500Z,27,2016-05-29T08:52:41Z,40.1034974084223,-70.36977165184787
cp_374-20160529T003500Z,28,2016-05-29T09:20:40Z,40.099424003300726,-70.36621181528464
cp_374-20160529T003500Z,29,2016-05-29T09:25:43Z,40.099058819964505,-70.3653582084981
cp_374-20160529T003500Z,30,2016-05-29T09:52:47Z,40.09636271665023,-70.3624461545845
cp_374-20160529T003500Z,31,2016-05-29T09:57:49Z,40.09631479679695,-70.36120713794988
cp_374-20160529T003500Z,32,2016-05-29T10:25:06Z,40.09468197022758,-70.35757580598235
cp_374-20160529T003500Z,33,2016-05-29T10:30:09Z,40.09431454306209,-70.35643122167427
cp_374-20160529T003500Z,34,2016-05-29T10:55:22Z,40.091991864394046,-70.35268379489432
cp_374-20160529T003500Z,35,2016-05-29T11:03:28Z,40.091623801431844,-70.35117342208822
cp_374-20160529T003500Z,36,2016-05-29T11:35:08Z,40.088977268113226,-70.34776795938373
cp_374-20160529T003500Z,37,2016-05-29T11:40:11Z,40.08854495736575,-70.34675705477109
cp_374-20160529T003500Z,38,2016-05-29T12:08:33Z,40.087018198482504,-70.34429011957901
cp_374-20160529T003500Z,39,2016-05-29T12:13:37Z,40.08667208904664,-70.34350754808987
cp_374-20160529T003500Z,40,2016-05-29T12:42:04Z,40.08478532442933,-70.34106660632973
cp_374-20160529T003500Z,41,2016-05-29T12:47:06Z,40.084475029964665,-70.34014785283698
cp_374-20160529T003500Z,42,2016-05-29T13:14:36Z,40.083237068026406,-70.3382960446751
cp_374-20160529T003500Z,43,2016-05-29T13:19:39Z,40.08304491433767,-70.33744738847314
cp_374-20160529T003500Z,44,2016-05-29T13:44:54Z,40.08243004844534,-70.3360077176303
cp_374-20160529T003500Z,45,2016-05-29T13:51:58Z,40.08224547437106,-70.33517503146004
cp_374-20160529T003500Z,46,2016-05-29T14:21:16Z,40.081792211464666,-70.33441960928663
cp_374-20160529T003500Z,47,2016-05-29T14:27:20Z,40.08162787143207,-70.3337304467087
cp_374-20160529T003500Z,48,2016-05-29T14:49:01Z,40.08244700573112,-70.3329186623182
cp_374-20160529T003500Z,49,2016-05-29T14:57:33Z,40.082774072055514,-70.33215243416467
cp_374-20160529T003500Z,50,2016-05-29T15:15:00Z,40.08417199368185,-70.3301513660891
cp_374-20160529T003500Z,51,2016-05-29T15:31:09Z,40.08410103342997,-70.32872597947151
cp_374-20160529T003500Z,52,2016-05-29T15:58:08Z,40.08573044908635,-70.32589738303886
cp_374-20160529T003500Z,53,2016-05-29T16:12:16Z,40.085533618208416,-70.32435241552143
cp_374-20160529T003500Z,54,2016-05-29T16:37:53Z,40.08688310548082,-70.32155301917295
cp_374-20160529T003500Z,55,2016-05-29T16:52:02Z,40.0868326580373,-70.31951961314601
cp_374-20160529T003500Z,56,2016-05-29T17:24:34Z,40.08754097542104,-70.31508719606528
cp_374-20160529T003500Z,57,2016-05-29T17:39:43Z,40.08747807376973,-70.31311285931267
